iter	Passed	Remaining
0	7	3841
1	11	2966
2	17	2922
3	23	2872
4	29	2955
5	33	2745
6	37	2617
7	41	2558
8	45	2501
9	49	2411
10	53	2356
11	56	2295
12	59	2225
13	63	2215
14	68	2226
15	72	2179
16	78	2217
17	85	2281
18	88	2232
19	94	2270
20	98	2241
21	101	2199
22	106	2207
23	110	2191
24	114	2174
25	118	2167
26	122	2146
27	127	2156
28	131	2133
29	135	2125
30	138	2090
31	141	2069
32	146	2070
33	148	2032
34	150	1995
35	151	1955
36	153	1917
37	155	1894
38	158	1874
39	160	1844
40	162	1819
41	164	1798
42	167	1775
43	169	1752
44	170	1727
45	173	1707
46	174	1683
47	176	1658
48	178	1643
49	184	1659
50	189	1669
51	193	1665
52	198	1672
53	202	1668
54	205	1660
55	209	1663
56	213	1660
57	217	1656
58	219	1642
59	224	1645
60	228	1641
61	230	1630
62	233	1616
63	239	1628
64	242	1621
65	246	1618
66	251	1627
67	257	1633
68	260	1628
69	265	1630
70	267	1619
71	272	1618
72	275	1612
73	280	1615
74	284	1611
75	288	1608
76	291	1601
77	295	1597
78	299	1597
79	304	1598
80	307	1591
81	310	1584
82	314	1581
83	318	1577
84	322	1574
85	326	1569
86	329	1566
87	332	1555
88	335	1549
89	339	1548
90	343	1545
91	346	1536
92	350	1535
93	355	1534
94	359	1533
95	363	1527
96	367	1527
97	370	1520
98	373	1513
99	376	1507
100	381	1508
101	385	1503
102	387	1495
103	392	1492
104	396	1491
105	398	1482
106	402	1479
107	405	1470
108	408	1465
109	411	1460
110	414	1453
111	417	1447
112	420	1438
113	422	1430
114	425	1424
115	429	1420
116	431	1413
117	434	1407
118	438	1402
119	440	1396
120	444	1391
121	448	1388
122	453	1391
123	457	1386
124	461	1385
125	465	1382
126	469	1377
127	472	1372
128	475	1368
129	478	1362
130	485	1368
131	491	1369
132	495	1366
133	498	1361
134	501	1355
135	506	1354
136	509	1350
137	514	1348
138	518	1346
139	523	1345
140	525	1338
141	530	1337
142	534	1335
143	537	1329
144	541	1325
145	544	1320
146	548	1316
147	551	1312
148	555	1308
149	558	1302
150	561	1298
151	564	1293
152	567	1287
153	570	1280
154	574	1277
155	577	1272
156	579	1266
157	584	1264
158	586	1257
159	590	1254
160	596	1255
161	601	1254
162	603	1248
163	608	1246
164	611	1240
165	615	1238
166	617	1231
167	623	1231
168	629	1232
169	633	1230
170	636	1224
171	640	1221
172	643	1215
173	648	1214
174	651	1209
175	655	1207
176	661	1206
177	663	1200
178	667	1197
179	670	1192
180	675	1190
181	677	1183
182	679	1177
183	683	1173
184	688	1171
185	692	1168
186	695	1163
187	698	1159
188	703	1157
189	707	1154
190	712	1152
191	716	1148
192	720	1145
193	722	1140
194	726	1135
195	730	1132
196	734	1129
197	738	1126
198	742	1122
199	745	1118
200	750	1115
201	753	1112
202	757	1108
203	761	1105
204	764	1100
205	768	1096
206	770	1091
207	775	1087
208	779	1085
209	783	1081
210	786	1077
211	789	1072
212	795	1071
213	798	1067
214	801	1062
215	806	1059
216	810	1057
217	815	1054
218	819	1051
219	821	1046
220	825	1042
221	829	1038
222	833	1035
223	836	1031
224	841	1028
225	846	1026
226	849	1022
227	853	1017
228	857	1014
229	860	1010
230	863	1005
231	868	1003
232	871	998
233	875	995
234	878	990
235	882	986
236	884	981
237	927	1021
238	931	1016
239	933	1011
240	937	1007
241	941	1003
242	943	998
243	946	993
244	950	988
245	954	985
246	957	980
247	960	976
248	965	972
249	968	968
250	974	966
251	976	961
252	981	957
253	983	952
254	986	947
255	989	943
256	992	938
257	995	933
258	998	928
259	1004	926
260	1007	922
261	1009	917
262	1012	912
263	1016	908
264	1018	903
265	1022	899
266	1026	896
267	1032	893
268	1036	889
269	1038	885
270	1044	882
271	1046	877
272	1049	872
273	1052	868
274	1057	865
275	1060	861
276	1063	856
277	1068	853
278	1073	850
279	1079	848
280	1084	845
281	1086	840
282	1089	835
283	1092	830
284	1096	827
285	1101	824
286	1105	820
287	1108	816
288	1111	811
289	1115	807
290	1120	804
291	1123	800
292	1127	796
293	1131	792
294	1134	788
295	1137	784
296	1142	780
297	1149	778
298	1156	777
299	1163	775
300	1166	771
301	1173	769
302	1177	765
