iter	Passed	Remaining
0	13	6746
1	20	4992
2	29	4860
3	38	4790
4	45	4552
5	53	4385
6	62	4392
7	68	4184
8	77	4223
9	82	4056
10	92	4095
11	99	4065
12	105	3956
13	114	3962
14	123	3980
15	132	4007
16	139	3976
17	151	4053
18	161	4088
19	169	4065
20	176	4034
21	184	4017
22	192	3988
23	201	3989
24	208	3956
25	215	3920
26	227	3983
27	238	4022
28	248	4035
29	259	4064
30	269	4079
31	279	4084
32	286	4060
33	295	4049
34	308	4102
35	323	4172
36	335	4196
37	348	4239
38	360	4258
39	372	4281
40	383	4298
41	397	4335
42	411	4374
43	420	4357
44	431	4359
45	444	4382
46	456	4396
47	470	4433
48	480	4423
49	490	4416
50	500	4409
51	508	4380
52	518	4376
53	530	4381
54	542	4393
55	554	4393
56	562	4368
57	576	4394
58	588	4395
59	594	4361
60	601	4327
61	610	4314
62	618	4289
63	624	4251
64	630	4216
65	637	4190
66	647	4186
67	658	4184
68	666	4161
69	676	4157
70	687	4155
71	696	4139
72	703	4117
73	711	4097
74	721	4086
75	730	4076
76	738	4056
77	743	4024
78	751	4002
79	757	3976
80	768	3975
81	776	3957
82	786	3952
83	799	3959
84	808	3948
85	817	3937
86	823	3909
87	831	3894
88	838	3870
89	850	3875
90	863	3881
91	873	3875
92	884	3872
93	899	3883
94	909	3879
95	932	3924
96	954	3963
97	980	4024
98	1003	4064
99	1031	4125
100	1054	4167
101	1067	4165
102	1078	4156
103	1093	4164
104	1119	4212
105	1150	4276
106	1171	4300
107	1193	4331
108	1213	4351
109	1229	4359
110	1245	4363
111	1261	4370
112	1270	4351
113	1283	4347
114	1297	4343
115	1312	4344
116	1323	4331
117	1342	4346
118	1358	4350
119	1377	4363
120	1388	4349
121	1399	4334
122	1410	4322
123	1424	4320
124	1433	4300
125	1449	4302
126	1462	4296
127	1479	4301
128	1500	4316
129	1511	4302
130	1529	4308
131	1546	4311
132	1562	4310
133	1574	4300
134	1596	4316
135	1614	4321
136	1637	4338
137	1654	4340
138	1669	4335
139	1679	4319
140	1692	4310
141	1705	4300
142	1719	4293
143	1729	4276
144	1744	4271
145	1757	4262
146	1767	4243
147	1778	4230
148	1789	4214
149	1796	4191
150	1808	4179
151	1819	4166
152	1833	4158
153	1842	4139
154	1855	4129
155	1865	4114
156	1875	4098
157	1883	4077
158	1891	4057
159	1903	4043
160	1915	4032
161	1922	4010
162	1934	3998
163	1941	3978
164	1949	3957
165	1960	3945
166	1972	3932
167	1983	3919
168	1989	3895
169	2000	3883
170	2009	3866
171	2019	3851
172	2030	3837
173	2040	3823
174	2051	3809
175	2063	3798
176	2070	3778
177	2078	3760
178	2090	3748
179	2099	3733
180	2109	3717
181	2120	3704
182	2126	3683
183	2133	3664
184	2144	3651
185	2154	3637
186	2165	3624
187	2173	3607
188	2180	3588
189	2191	3576
190	2200	3559
191	2209	3544
192	2220	3532
193	2231	3519
194	2241	3505
195	2250	3490
196	2261	3478
197	2270	3463
198	2283	3453
199	2295	3442
200	2302	3424
201	2314	3414
202	2322	3398
203	2333	3386
204	2340	3368
205	2350	3354
206	2361	3342
207	2373	3331
208	2384	3319
209	2395	3307
210	2405	3295
211	2416	3282
212	2424	3266
213	2435	3255
214	2444	3240
215	2455	3228
216	2464	3213
217	2474	3200
218	2482	3185
219	2491	3171
220	2499	3155
221	2508	3141
222	2518	3128
223	2526	3112
224	2534	3097
225	2544	3084
226	2553	3070
227	2561	3056
228	2568	3039
229	2576	3024
230	2581	3005
231	2590	2993
232	2600	2979
233	2608	2965
234	2614	2948
235	2620	2930
236	2627	2915
237	2637	2903
238	2643	2886
239	2653	2874
240	2659	2858
241	2664	2840
242	2671	2825
243	2680	2812
244	2689	2799
245	2698	2786
246	2704	2770
247	2710	2754
248	2719	2741
249	2728	2728
250	2739	2717
251	2748	2705
252	2758	2693
253	2769	2682
254	2777	2668
255	2785	2654
256	2790	2638
257	2797	2623
258	2803	2608
259	2808	2592
260	2818	2580
261	2825	2567
262	2831	2551
263	2842	2540
264	2849	2526
265	2857	2513
266	2865	2500
267	2875	2489
268	2884	2477
269	2893	2464
270	2903	2453
271	2912	2441
272	2922	2429
273	2931	2418
274	2937	2403
275	2944	2390
276	2952	2376
277	2960	2364
278	2970	2353
279	2981	2342
280	2992	2332
281	3002	2321
282	3014	2311
283	3023	2299
284	3029	2285
285	3038	2273
286	3049	2263
287	3056	2250
288	3068	2240
289	3080	2230
290	3087	2217
291	3100	2208
292	3112	2198
293	3119	2185
294	3125	2172
295	3136	2161
296	3146	2150
297	3158	2140
298	3169	2130
299	3177	2118
300	3186	2106
301	3196	2095
302	3205	2084
303	3211	2070
304	3217	2057
305	3224	2044
306	3232	2032
307	3239	2019
308	3246	2006
309	3255	1995
310	3262	1982
311	3273	1972
312	3283	1961
313	3293	1951
314	3302	1939
315	3308	1926
316	3317	1915
317	3325	1903
318	3332	1890
319	3337	1877
320	3343	1864
321	3354	1854
322	3365	1844
323	3377	1834
324	3383	1822
325	3395	1812
326	3404	1800
327	3410	1788
328	3416	1775
329	3427	1765
330	3439	1755
331	3448	1745
332	3459	1735
333	3468	1724
334	3478	1713
335	3487	1702
336	3494	1690
337	3504	1679
338	3514	1669
339	3522	1657
340	3529	1645
341	3538	1634
342	3546	1623
343	3555	1612
344	3563	1601
345	3573	1590
346	3582	1579
347	3588	1567
348	3594	1555
349	3603	1544
350	3611	1533
351	3620	1522
352	3628	1510
353	3637	1500
354	3646	1489
355	3654	1478
356	3662	1466
357	3671	1456
358	3679	1445
359	3688	1434
360	3697	1423
361	3703	1411
362	3708	1399
363	3717	1389
364	3726	1378
365	3734	1367
366	3743	1356
367	3752	1345
368	3758	1334
369	3768	1324
