iter	RMSE
0	8.995888246
1	8.210628931
2	7.509200194
3	6.879207277
4	6.308653804
5	5.796989318
6	5.333117477
7	4.91978498
8	4.551694663
9	4.220179983
10	3.918605311
11	3.650850083
12	3.415162764
13	3.204169948
14	3.021598295
15	2.84545283
16	2.699608477
17	2.563852904
18	2.443778156
19	2.339816633
20	2.244648092
21	2.164004102
22	2.09176488
23	2.025385918
24	1.968271372
25	1.918428873
26	1.87042057
27	1.830267052
28	1.789619446
29	1.758640525
30	1.725321203
31	1.699812947
32	1.670748886
33	1.641969941
34	1.623255693
35	1.600330809
36	1.57943527
37	1.560541741
38	1.547446607
39	1.533825047
40	1.520635006
41	1.503069688
42	1.492574641
43	1.47407161
44	1.461029479
45	1.452790009
46	1.438791811
47	1.428143285
48	1.41953125
49	1.409108406
50	1.400607166
51	1.385742575
52	1.37889824
53	1.36808601
54	1.361132302
55	1.351041487
56	1.339919004
57	1.331689064
58	1.324650563
59	1.316321547
60	1.309395206
61	1.302041531
62	1.294642526
63	1.284037091
64	1.277436366
65	1.271739628
66	1.265502121
67	1.258358693
68	1.248810461
69	1.242174235
70	1.23090541
71	1.225379145
72	1.218115472
73	1.213578727
74	1.210488248
75	1.202432645
76	1.195969423
77	1.191076777
78	1.186342059
79	1.180999793
80	1.175116202
81	1.17052191
82	1.163003206
83	1.157058772
84	1.153676016
85	1.148444941
86	1.145126122
87	1.141337587
88	1.13704164
89	1.132550953
90	1.129160619
91	1.118974207
92	1.115430022
93	1.110173059
94	1.106222232
95	1.101905281
96	1.097293775
97	1.094034741
98	1.089585274
99	1.086030926
100	1.081179149
101	1.076942007
102	1.071082781
103	1.068308688
104	1.065020812
105	1.061490285
106	1.053532893
107	1.050688421
108	1.042497213
109	1.040062981
110	1.036346547
111	1.032903465
112	1.029177637
113	1.026275432
114	1.02377981
115	1.020824162
116	1.018085524
117	1.012559516
118	1.009825421
119	1.007124032
120	1.003956338
121	1.001209403
122	0.9959297275
123	0.992157748
124	0.9888322591
125	0.9843845433
126	0.9793884804
127	0.9767312611
128	0.9736011168
129	0.9701523858
130	0.9674431358
131	0.9630556421
132	0.9588324175
133	0.9552290704
134	0.9530536997
135	0.950233324
136	0.9480784037
137	0.9459840984
138	0.9440222681
139	0.9408642037
140	0.9374632403
141	0.9346173521
142	0.9321959495
143	0.9282310901
144	0.9229323832
145	0.9180824659
146	0.9159996134
147	0.9134296366
148	0.9118346925
149	0.9062257382
150	0.904473452
151	0.9027941925
152	0.9011953128
153	0.8993230495
154	0.8968471512
155	0.8946815083
156	0.8924444867
157	0.8893631013
158	0.8876393126
159	0.8847991144
160	0.8834999762
161	0.8806221992
162	0.8786476648
163	0.8767597864
164	0.874306147
165	0.8726236898
166	0.8712601832
167	0.8692028299
168	0.8659236166
169	0.8641555508
170	0.861565432
171	0.859846628
172	0.858355005
173	0.8559536781
174	0.8532221896
175	0.8520262526
176	0.8491533203
177	0.8470286245
178	0.8457971203
179	0.8421701163
180	0.8407267432
181	0.8387544717
182	0.8367199563
183	0.8344667253
184	0.8310462918
185	0.8291388132
186	0.8275679525
187	0.8263512412
188	0.8236333844
189	0.821466227
190	0.8189603153
191	0.8163976109
192	0.8149621211
193	0.8134674169
194	0.8119852779
195	0.8100941353
196	0.8090172616
197	0.8074111431
198	0.8044189167
199	0.8030275197
200	0.8017065138
201	0.8004199258
202	0.7985736148
203	0.7975740848
204	0.796316026
205	0.7953656987
206	0.7942359325
207	0.7932819692
208	0.7922024055
209	0.7902725863
210	0.7877033008
211	0.7860466358
212	0.7814303702
213	0.7797698014
214	0.7777194357
215	0.7753184188
216	0.7738650097
217	0.7720930341
218	0.7698406272
219	0.7686234794
220	0.7667108525
221	0.7657888203
222	0.7642104484
223	0.7620885892
224	0.7610209852
225	0.7596401074
226	0.7582844842
227	0.75708534
228	0.7556049207
229	0.7538824221
230	0.7530298444
231	0.7516321877
232	0.7506098068
233	0.7494196394
234	0.7479184797
235	0.7462463171
236	0.7451328065
237	0.7435790893
238	0.7420109157
239	0.7407361761
240	0.7394118678
241	0.7378688567
242	0.7366748994
243	0.7357159616
244	0.7347311347
245	0.7336989235
246	0.7321611428
247	0.7308883028
248	0.7298397373
249	0.7285336832
250	0.7277939945
251	0.7264022296
252	0.7258273907
253	0.7248280611
254	0.7242640901
255	0.7232357715
256	0.7214518417
257	0.720506258
258	0.7195336524
259	0.7188280703
260	0.7170133211
261	0.7153337148
262	0.7141864014
263	0.7130985956
264	0.710471822
265	0.7094313432
266	0.7084219063
267	0.7074899994
268	0.7056150704
269	0.7042810039
270	0.7031875368
271	0.7014627063
272	0.6995632584
273	0.698660541
274	0.6977859035
275	0.6969741826
276	0.6949157215
277	0.6940789431
278	0.6933870781
279	0.6922625197
280	0.6904623088
281	0.6894895568
282	0.688570653
283	0.68769644
284	0.6865710439
285	0.685499278
286	0.6838938245
287	0.682119725
288	0.6814080536
289	0.6803635869
290	0.6793865199
291	0.678112389
292	0.67666864
293	0.6745751799
294	0.673921959
295	0.6731685518
296	0.6721274155
297	0.6712179991
298	0.6702389367
299	0.6694659115
300	0.6685806666
301	0.6676133653
302	0.6668914779
303	0.6657755827
304	0.6651031846
305	0.6638672108
306	0.6627151387
307	0.6616702485
308	0.6609847777
309	0.659998442
310	0.6590890643
311	0.6580661413
312	0.6573045464
313	0.6558432809
314	0.655204792
315	0.653840607
316	0.6531600826
317	0.6523369751
318	0.6511945933
319	0.650460346
320	0.6494968307
321	0.6489309248
322	0.648203646
323	0.6474026573
324	0.6469567925
325	0.645955348
326	0.6453473865
327	0.6444548206
328	0.6438173712
329	0.642348128
330	0.6411126566
331	0.6401661799
332	0.639643598
333	0.6390087565
334	0.6383101709
335	0.6371497394
336	0.636452642
337	0.6355998061
338	0.6343626299
339	0.6336132435
340	0.6320033985
341	0.6314520697
342	0.6309378479
343	0.6299168028
344	0.6294183039
345	0.628867871
346	0.6277436781
347	0.6269795367
348	0.6260389691
349	0.6251818936
350	0.6244607808
351	0.6237332932
352	0.6231025892
353	0.6222224314
354	0.6214010104
355	0.6207040261
356	0.6194864675
357	0.6185996404
358	0.6178944736
359	0.6171902067
360	0.6167295722
361	0.6162056468
362	0.6143254287
363	0.6135232308
364	0.6121667198
365	0.6117496947
366	0.6111316173
367	0.6106984032
368	0.6099351313
369	0.6092511288
370	0.6088195801
371	0.6083244296
372	0.6073152096
373	0.6063094669
374	0.6056090301
375	0.6048952654
376	0.6039133039
377	0.6024956244
378	0.601631092
379	0.6009559445
380	0.600271756
381	0.5994203326
382	0.5988900297
383	0.5982947269
384	0.5976614485
385	0.5963770525
386	0.5953332413
387	0.5948487066
388	0.594129282
389	0.5936810268
390	0.5931712026
391	0.5922930883
392	0.5913473421
393	0.5907502691
394	0.5903452552
395	0.5897615639
396	0.5889404032
397	0.5883614207
398	0.5877146871
399	0.5870411786
400	0.5860059372
401	0.5852436468
402	0.5846145112
