iter	Passed	Remaining
0	418	10453711
1	727	9099172
2	1084	9034638
3	1627	10171276
4	2140	10698189
5	2524	10517283
6	2863	10224400
7	3181	9938399
8	3554	9869286
9	3917	9790309
10	4296	9760341
11	4679	9744620
12	5040	9688510
13	5364	9574146
14	5781	9630577
15	6135	9580610
16	6488	9534898
17	6815	9458618
18	7193	9457398
19	7483	9347066
20	7832	9317099
21	8135	9236595
22	8478	9207010
23	8778	9135888
24	9122	9113017
25	9460	9087391
26	9793	9058671
27	10145	9048496
28	10476	9021400
29	10783	8975467
30	11133	8967630
31	11386	8884536
32	11834	8953752
33	12222	8974634
34	12500	8916528
35	12856	8915212
36	13152	8873862
37	13457	8839893
38	13793	8828392
39	14074	8782577
40	14368	8747162
41	14790	8788896
42	15174	8807211
43	15583	8838861
44	15845	8787005
45	16111	8739961
46	16438	8727540
47	16705	8684278
48	16980	8646366
49	17480	8723004
50	17781	8698686
51	18175	8720154
52	18525	8719896
53	18952	8755386
54	19377	8788597
55	19708	8778632
56	19989	8747259
57	20229	8699437
58	20526	8677159
59	20855	8669093
60	21114	8632259
61	21408	8610982
62	21783	8622432
63	22151	8630829
64	22421	8601192
65	22738	8590162
66	23102	8597375
67	23594	8650942
68	24020	8678901
69	24380	8683025
70	24689	8668802
71	24999	8655349
72	25287	8634699
73	25545	8604715
74	25775	8566027
75	26036	8538534
76	26303	8513668
77	26559	8485996
78	26838	8466308
79	27151	8457777
80	27491	8457449
81	27860	8466125
82	28151	8451087
83	28430	8432960
84	28718	8418028
85	29008	8403731
86	29316	8395079
87	29609	8382234
88	29911	8372256
89	30186	8355016
90	30491	8346253
91	30846	8351303
92	31135	8338621
93	31478	8340516
94	31844	8348196
95	32211	8356262
96	32466	8335076
97	32765	8325870
98	33110	8328089
99	33528	8348641
100	33802	8333192
101	34109	8325995
102	34407	8316944
103	34652	8295218
104	34930	8281864
105	35211	8269474
106	35519	8263543
107	35789	8248877
108	36100	8243938
109	36344	8223800
110	36670	8222433
111	36917	8203672
112	37241	8201979
113	37558	8198985
114	37877	8196467
115	38152	8184423
116	38413	8169627
117	38655	8151100
118	38964	8146826
119	39220	8131667
120	39541	8130235
121	39892	8134735
122	40229	8136427
123	40499	8124728
124	40832	8125750
125	41113	8116346
126	41423	8112744
127	41729	8108565
128	42021	8101773
129	42329	8097993
130	42632	8093246
131	42964	8094179
132	43238	8084330
133	43555	8082426
134	43803	8068012
135	44209	8082518
