type,sourceName,creationDate,startDate,endDate,value,sourceVersion,device
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-20 01:45:00 -0400,2015-02-20 08:09:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-20 01:39:00 -0400,2015-02-20 08:46:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-21 01:59:00 -0400,2015-02-21 09:34:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-21 01:52:00 -0400,2015-02-21 09:57:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-22 02:50:00 -0400,2015-02-22 09:11:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-22 02:36:00 -0400,2015-02-22 09:36:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-23 01:19:00 -0400,2015-02-23 07:49:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-23 01:12:00 -0400,2015-02-23 08:30:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-23 21:08:00 -0400,2015-02-24 06:03:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-23 21:02:00 -0400,2015-02-24 07:16:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-25 00:03:00 -0400,2015-02-25 06:39:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-24 23:30:00 -0400,2015-02-25 07:03:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-26 01:34:00 -0400,2015-02-26 07:47:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-26 01:29:00 -0400,2015-02-26 08:17:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-27 02:40:00 -0400,2015-02-27 07:57:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-27 02:33:00 -0400,2015-02-27 08:21:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-27 23:34:00 -0400,2015-02-28 09:26:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-02-27 23:30:00 -0400,2015-02-28 09:55:00 -0400,HKCategoryValueSleepAnalysisInBed,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-03-01 01:42:00 -0400,2015-03-01 07:40:00 -0400,HKCategoryValueSleepAnalysisAsleepUnspecified,,
HKCategoryTypeIdentifierSleepAnalysis,Sync Solver,2015-04-19 09:42:14 -0400,2015-03-01 01:32:00 -0400,2015-03-01 08:14:00 -0400,HKCategoryValueSleepAnalysisInBed,,
