iter	Passed	Remaining
0	35	35536
1	53	26756
2	76	25301
3	105	26310
4	132	26440
5	155	25831
6	198	28128
7	221	27496
8	272	30023
9	295	29258
10	334	30038
11	352	29043
12	369	28037
13	395	27854
14	408	26855
15	436	26854
16	461	26665
17	482	26304
18	496	25640
19	510	25010
20	523	24383
21	536	23844
22	552	23452
23	566	23018
24	582	22725
25	600	22490
26	615	22177
27	630	21886
28	648	21717
29	664	21496
30	711	22249
31	769	23290
32	814	23867
33	865	24601
34	940	25935
35	981	26284
36	1015	26431
37	1043	26409
38	1075	26495
39	1102	26469
40	1120	26216
41	1138	25976
42	1159	25808
43	1178	25613
44	1196	25383
45	1212	25156
46	1231	24962
47	1248	24754
48	1273	24713
49	1293	24584
50	1314	24451
51	1338	24393
52	1364	24373
53	1390	24364
54	1427	24535
55	1461	24629
56	1491	24680
57	1516	24637
58	1544	24640
59	1557	24393
60	1566	24120
61	1580	23908
62	1591	23671
63	1603	23454
64	1615	23243
65	1628	23041
66	1640	22842
67	1654	22682
68	1668	22513
69	1679	22318
70	1690	22124
71	1704	21971
72	1718	21818
73	1730	21653
74	1739	21450
75	1749	21271
76	1760	21108
77	1769	20919
78	1781	20765
79	1792	20610
80	1801	20441
81	1813	20301
82	1825	20165
83	1837	20041
84	1845	19868
85	1857	19741
86	1868	19604
87	1877	19462
88	1887	19323
89	1899	19204
90	1910	19084
91	1920	18957
92	1931	18834
93	1940	18698
94	1949	18576
95	1960	18462
96	1970	18344
97	1980	18227
98	1989	18108
99	2001	18010
100	2011	17901
101	2021	17793
102	2033	17706
103	2045	17626
104	2058	17548
105	2071	17470
106	2081	17370
107	2092	17280
108	2102	17187
109	2112	17094
110	2122	17002
111	2134	16922
112	2143	16828
113	2155	16749
114	2167	16681
115	2176	16588
116	2187	16506
117	2199	16437
118	2208	16353
119	2219	16274
120	2229	16192
121	2238	16106
122	2247	16024
123	2255	15936
124	2264	15850
125	2273	15770
126	2283	15698
127	2291	15613
128	2301	15539
129	2311	15468
130	2320	15395
131	2331	15329
132	2340	15255
133	2347	15171
134	2358	15111
135	2368	15047
136	2382	15007
137	2391	14940
138	2400	14866
139	2410	14805
140	2419	14740
141	2430	14684
142	2438	14613
143	2447	14546
144	2456	14485
145	2464	14416
146	2473	14355
147	2481	14286
148	2490	14226
149	2500	14169
150	2508	14105
151	2517	14043
152	2525	13980
153	2536	13932
154	2545	13877
155	2555	13826
156	2565	13776
157	2574	13717
158	2584	13668
159	2594	13619
160	2602	13562
161	2614	13525
162	2622	13468
163	2632	13420
164	2643	13378
165	2652	13326
166	2662	13282
167	2673	13237
168	2682	13190
169	2693	13148
170	2703	13106
171	2713	13060
172	2725	13027
173	2734	12981
174	2743	12931
175	2754	12895
176	2764	12853
177	2774	12814
178	2786	12779
179	2795	12736
180	2804	12690
181	2815	12655
182	2831	12642
183	2848	12632
184	2859	12596
185	2867	12551
186	2877	12509
187	2886	12468
188	2897	12433
189	2909	12405
190	2920	12370
191	2932	12341
192	2943	12306
193	2953	12269
194	2962	12229
195	2971	12190
196	2981	12152
197	2992	12119
198	3002	12087
199	3011	12044
200	3020	12004
201	3029	11969
202	3040	11936
203	3050	11902
204	3061	11874
205	3071	11839
206	3081	11806
207	3090	11766
208	3099	11728
209	3106	11687
210	3116	11652
211	3123	11609
212	3133	11577
213	3143	11544
214	3153	11513
215	3164	11485
216	3173	11451
217	3182	11415
218	3191	11382
219	3200	11348
220	3211	11319
221	3221	11290
222	3231	11257
223	3242	11231
224	3252	11201
225	3262	11174
226	3275	11152
227	3301	11178
228	3312	11152
229	3321	11119
230	3332	11094
231	3343	11066
232	3352	11034
233	3359	10997
234	3368	10966
235	3377	10934
236	3386	10903
237	3396	10873
