"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","some high school","standard","none","60","53","50"
"male","group A","some college","standard","none","83","76","74"
"female","group E","bachelor's degree","standard","none","58","65","65"
"female","group D","high school","free/reduced","none","54","52","56"
"male","group D","high school","standard","none","71","61","61"
"male","group C","high school","standard","completed","58","64","59"
"male","group C","high school","free/reduced","none","54","56","56"
"male","group B","some high school","standard","completed","94","91","88"
"female","group B","bachelor's degree","standard","none","70","75","80"
"female","group C","high school","standard","completed","76","86","89"
"male","group D","associate's degree","free/reduced","none","50","55","58"
"male","group D","associate's degree","standard","completed","37","39","44"
"female","group B","master's degree","standard","none","81","81","80"
"male","group B","some high school","free/reduced","completed","65","65","65"
"male","group E","some high school","standard","none","77","63","60"
"female","group D","associate's degree","standard","none","57","60","63"
"male","group E","high school","free/reduced","none","54","61","54"
"female","group D","some high school","standard","completed","70","82","79"
"female","group E","high school","free/reduced","completed","61","72","73"
"male","group D","high school","standard","none","95","92","83"
"female","group D","associate's degree","standard","none","57","66","68"
"female","group C","associate's degree","standard","none","64","77","78"
"male","group D","high school","standard","completed","66","61","62"
"female","group D","high school","standard","completed","71","75","81"
"female","group A","some high school","standard","completed","72","78","78"
"female","group C","high school","free/reduced","none","53","65","60"
"male","group A","some high school","free/reduced","completed","31","33","32"
"female","group C","high school","standard","none","76","74","70"
"male","group B","some college","free/reduced","completed","86","78","78"
"male","group A","some college","free/reduced","completed","47","42","45"
"female","group C","master's degree","standard","completed","78","79","82"
"female","group C","associate's degree","standard","completed","60","65","68"
"female","group D","bachelor's degree","standard","none","69","71","77"
"male","group D","high school","free/reduced","none","39","48","42"
"female","group C","some college","free/reduced","none","71","81","80"
"male","group C","high school","standard","completed","88","74","75"
"male","group D","associate's degree","standard","none","82","73","70"
"male","group C","high school","standard","completed","64","50","50"
"male","group E","master's degree","standard","none","78","69","64"
"male","group B","associate's degree","standard","completed","86","86","84"
"female","group D","some college","standard","completed","77","96","98"
"male","group D","associate's degree","free/reduced","none","62","53","55"
"male","group D","some college","standard","completed","78","73","77"
"male","group B","some college","free/reduced","none","56","60","54"
"male","group C","some college","standard","none","78","85","78"
"female","group B","some high school","free/reduced","completed","45","62","64"
"male","group D","some college","standard","completed","68","67","65"
"female","group D","master's degree","standard","completed","85","95","90"
"female","group C","bachelor's degree","standard","completed","78","78","83"
"male","group D","associate's degree","standard","none","77","79","81"
"male","group C","some college","standard","none","58","54","50"
"male","group C","some college","standard","none","63","50","52"
"male","group D","associate's degree","standard","none","66","70","68"
"male","group D","high school","standard","completed","93","85","88"
"male","group E","associate's degree","standard","none","76","71","68"
"female","group C","associate's degree","free/reduced","completed","58","65","70"
"male","group A","bachelor's degree","free/reduced","completed","63","70","69"
"female","group C","some high school","standard","none","78","66","75"
"female","group D","associate's degree","standard","none","82","92","88"
"male","group C","high school","standard","completed","66","62","61"
"male","group D","some high school","free/reduced","completed","78","73","78"
"female","group E","associate's degree","free/reduced","none","80","72","75"
"male","group D","some high school","standard","none","59","58","59"
"female","group A","master's degree","free/reduced","none","66","85","79"
"male","group D","some high school","standard","completed","61","51","53"
"female","group E","bachelor's degree","free/reduced","none","73","86","82"
"male","group B","some high school","standard","none","63","58","57"
"female","group B","some college","standard","none","82","93","91"
"female","group D","associate's degree","free/reduced","none","76","94","92"
"male","group B","some high school","standard","none","62","60","54"
"female","group D","bachelor's degree","free/reduced","none","54","73","76"
"female","group C","bachelor's degree","standard","completed","82","96","94"
"male","group E","some college","standard","none","92","88","81"
"female","group D","some college","standard","none","65","83","81"
"male","group C","some high school","standard","completed","69","65","63"
"male","group E","some college","free/reduced","none","77","69","63"
"female","group C","master's degree","free/reduced","none","39","54","56"
"male","group B","master's degree","standard","none","79","71","69"
"female","group A","associate's degree","free/reduced","completed","86","91","97"
"female","group A","associate's degree","standard","none","80","90","84"
"female","group E","high school","standard","none","52","62","61"
"female","group D","some college","free/reduced","completed","73","78","90"
"female","group B","associate's degree","standard","none","62","60","66"
"female","group B","some high school","free/reduced","none","49","64","59"
"female","group D","some college","standard","completed","86","97","100"
"female","group D","some high school","free/reduced","completed","57","69","64"
"female","group E","master's degree","free/reduced","none","82","84","76"
"male","group D","bachelor's degree","free/reduced","completed","80","77","77"
"female","group C","high school","standard","completed","48","59","63"
"female","group D","associate's degree","standard","completed","90","93","100"
"female","group A","high school","standard","completed","68","79","75"
"male","group A","some high school","standard","none","48","37","28"
"female","group C","high school","standard","none","75","88","88"
"female","group D","high school","standard","none","56","66","65"
"female","group B","bachelor's degree","standard","none","77","89","92"
"male","group A","high school","standard","none","61","60","52"
"female","group D","associate's degree","free/reduced","completed","70","81","87"
"female","group D","bachelor's degree","standard","none","74","81","81"
"female","group B","master's degree","free/reduced","none","46","54","58"
"female","group C","associate's degree","standard","completed","62","73","70"
"female","group E","associate's degree","standard","completed","58","62","70"
"male","group A","associate's degree","standard","none","47","51","45"
"female","group D","some high school","standard","none","49","59","58"
"female","group D","some high school","standard","completed","76","83","83"
"male","group D","associate's degree","free/reduced","none","69","61","60"
"female","group D","master's degree","standard","completed","74","89","90"
"female","group D","high school","standard","completed","65","73","74"
"male","group C","associate's degree","free/reduced","completed","65","58","59"
"male","group A","high school","free/reduced","none","52","51","46"
"male","group B","some college","standard","none","79","69","69"
"male","group D","high school","free/reduced","none","61","58","57"
"female","group E","high school","standard","completed","92","82","89"
"female","group C","bachelor's degree","standard","completed","55","53","64"
"female","group B","associate's degree","standard","none","86","85","91"
"female","group C","some college","free/reduced","completed","56","70","72"
"male","group A","high school","standard","completed","72","71","76"
"male","group D","associate's degree","free/reduced","none","44","59","54"
"male","group C","some high school","standard","completed","62","75","71"
"male","group D","high school","free/reduced","none","68","62","63"
"male","group B","some high school","standard","none","59","62","56"
"male","group D","master's degree","standard","none","70","68","67"
"male","group E","some college","standard","completed","88","83","75"
"male","group A","associate's degree","free/reduced","none","45","47","42"
"male","group E","master's degree","standard","none","100","94","90"
"male","group B","associate's degree","standard","completed","79","68","74"
"male","group E","high school","standard","completed","81","76","76"
"male","group A","associate's degree","standard","none","56","64","60"
"female","group E","some high school","free/reduced","completed","58","70","68"
"female","group B","bachelor's degree","standard","none","59","80","75"
"female","group E","some high school","free/reduced","completed","65","67","72"
"male","group C","associate's degree","standard","none","91","82","82"
"female","group D","some high school","standard","none","89","78","84"
"male","group B","bachelor's degree","standard","completed","75","75","76"
"female","group C","some high school","standard","completed","60","60","64"
"female","group D","bachelor's degree","standard","completed","73","88","87"
"female","group D","some college","standard","none","50","56","58"
"female","group C","some high school","standard","completed","73","80","81"
"female","group B","some college","standard","none","57","66","61"
"male","group D","associate's degree","free/reduced","none","54","49","46"
"male","group E","high school","standard","none","63","51","45"
"male","group C","high school","free/reduced","completed","75","63","67"
"female","group B","bachelor's degree","free/reduced","completed","81","96","92"
"male","group C","some college","free/reduced","completed","71","69","67"
"male","group C","associate's degree","standard","completed","87","87","81"
"male","group D","bachelor's degree","standard","none","77","70","73"
"male","group B","some high school","standard","none","58","50","45"
"female","group B","high school","standard","none","54","56","56"
"male","group A","some high school","standard","none","67","50","47"
"male","group E","high school","free/reduced","completed","60","52","54"
"female","group C","high school","standard","none","59","64","61"
"male","group C","high school","standard","completed","89","97","88"
"male","group D","associate's degree","standard","none","56","56","60"
"female","group D","some college","standard","none","59","71","71"
"female","group D","high school","free/reduced","none","55","56","60"
"female","group C","some high school","standard","completed","61","64","58"
"female","group E","some college","standard","none","93","100","100"
"female","group B","some high school","free/reduced","none","47","58","50"
"male","group D","high school","standard","none","69","56","59"
"male","group A","some high school","standard","none","64","58","56"
"female","group D","some college","free/reduced","none","58","64","61"
"male","group A","associate's degree","free/reduced","none","78","77","72"
"female","group C","some high school","free/reduced","completed","48","72","66"
"female","group C","associate's degree","standard","none","60","81","77"
"male","group D","high school","standard","none","99","80","86"
"male","group E","some high school","standard","none","68","64","58"
"male","group A","some college","standard","completed","65","64","62"
"male","group B","some college","free/reduced","none","75","77","66"
"female","group B","master's degree","standard","completed","91","100","100"
"male","group D","some high school","standard","none","85","77","73"
"female","group C","some high school","free/reduced","completed","45","64","64"
"female","group C","bachelor's degree","free/reduced","none","41","57","51"
"male","group C","bachelor's degree","standard","none","60","61","57"
"male","group B","some college","standard","completed","80","82","78"
"male","group C","associate's degree","standard","none","69","69","63"
"male","group D","associate's degree","standard","none","66","57","57"
"male","group C","some college","standard","completed","72","68","71"
"female","group B","some high school","free/reduced","none","29","39","42"
"male","group E","master's degree","standard","completed","100","98","95"
"male","group B","associate's degree","standard","none","77","70","70"
"female","group C","some high school","free/reduced","none","46","66","51"
"male","group A","associate's degree","standard","completed","82","76","75"
"female","group D","high school","standard","completed","56","77","79"
"male","group C","high school","standard","completed","56","58","57"
"male","group C","some college","standard","none","66","69","62"
"female","group E","master's degree","standard","completed","100","100","100"
"male","group B","some college","free/reduced","none","44","46","38"
"female","group C","some college","standard","completed","65","70","76"
"female","group C","some college","standard","completed","73","86","87"
"male","group D","high school","standard","none","77","70","73"
"female","group D","some college","standard","none","66","83","82"
"male","group D","associate's degree","free/reduced","completed","88","86","81"
"male","group B","associate's degree","standard","none","72","68","64"
"male","group D","some high school","standard","none","64","61","56"
"male","group D","some high school","standard","none","53","45","46"
"female","group D","bachelor's degree","standard","none","62","55","64"
"female","group A","some college","standard","none","83","97","93"
"male","group B","some high school","standard","none","73","76","68"
"male","group C","some high school","standard","none","63","64","54"
"female","group C","some college","free/reduced","none","54","60","63"
"female","group B","bachelor's degree","standard","completed","75","74","81"
"female","group C","some college","standard","completed","53","52","55"
"female","group B","high school","standard","completed","67","81","87"
"male","group C","some college","standard","none","84","84","83"
"female","group B","some high school","free/reduced","none","33","45","45"
"male","group D","some high school","standard","none","69","71","71"
"male","group D","bachelor's degree","standard","none","74","64","69"
"male","group C","high school","standard","completed","56","47","51"
"female","group E","some college","standard","completed","98","100","100"
"male","group A","high school","standard","none","93","83","75"
"male","group C","some high school","standard","none","74","58","56"
"male","group B","associate's degree","standard","completed","83","80","77"
"female","group C","associate's degree","free/reduced","none","34","57","53"
"male","group C","high school","free/reduced","completed","51","62","51"
"male","group D","some high school","free/reduced","completed","59","67","65"
"female","group A","high school","standard","none","60","73","69"
"male","group C","high school","standard","completed","83","71","67"
"female","group C","master's degree","standard","completed","61","81","78"
"male","group B","bachelor's degree","standard","none","75","72","68"
"female","group B","high school","free/reduced","completed","70","89","86"
"female","group B","high school","standard","none","65","68","66"
"male","group B","some college","standard","none","75","77","72"
"male","group C","associate's degree","free/reduced","completed","52","54","57"
"male","group B","associate's degree","free/reduced","completed","66","70","64"
"female","group D","high school","standard","none","74","76","73"
"male","group D","high school","standard","none","70","66","65"
"female","group C","some college","standard","none","44","45","54"
"male","group D","associate's degree","free/reduced","none","63","55","53"
"male","group E","high school","standard","none","71","65","66"
"female","group B","high school","standard","none","76","86","84"
"male","group D","some high school","standard","none","52","43","39"
"female","group D","high school","standard","none","73","86","82"
"female","group C","associate's degree","standard","none","48","66","59"
"female","group A","some college","standard","completed","67","85","84"
"female","group C","high school","standard","completed","58","73","68"
"female","group C","bachelor's degree","standard","none","62","76","79"
"female","group C","some college","standard","none","82","89","89"
"female","group B","associate's degree","standard","none","63","74","71"
"male","group D","some high school","standard","completed","63","64","61"
"female","group D","associate's degree","free/reduced","none","76","89","84"
"female","group D","some college","free/reduced","none","50","59","56"
"female","group D","some high school","free/reduced","none","56","69","71"
"female","group D","bachelor's degree","free/reduced","completed","38","56","59"
"female","group E","associate's degree","free/reduced","completed","54","73","70"
"male","group C","some high school","free/reduced","none","50","51","44"
"female","group C","some high school","standard","none","69","76","80"
"male","group A","bachelor's degree","free/reduced","none","86","77","76"
"male","group C","associate's degree","standard","none","89","94","81"
"male","group B","some high school","standard","none","75","69","64"
"male","group C","some college","standard","completed","91","92","82"
"female","group C","master's degree","free/reduced","none","69","77","81"
"male","group C","high school","standard","none","81","71","70"
"female","group C","some high school","free/reduced","none","36","52","48"
